rank,team,w,l,t,gp,win_pct,pf,pa,diff
1,The Fellowship of the Swing,11,3,0,14,0.786,177,155,22
2,The Pure Breads,10,3,1,14,0.750,196,128,68
3,Youre Saying Theres A Chance,10,4,0,14,0.714,199,114,85
4,The Lefty Looseys,10,4,0,14,0.714,188,137,51
5,The Diamonds and Dirtbags,10,4,0,14,0.714,175,158,17
6,The Pliggas,6,7,1,14,0.464,142,148,-6
7,The Good Guys,6,8,0,14,0.429,139,166,-27
8,The Ellites,5,9,0,14,0.357,150,178,-28
9,The Slamma Jammas,5,9,0,14,0.357,127,156,-29
10,The Playas,5,9,0,14,0.357,114,157,-43
11,The Stars and Strikes,4,10,0,14,0.286,127,167,-40
12,The Danites,1,13,0,14,0.071,136,206,-70
