date,time,field,team_a,score_a,team_b,score_b,status,note
2026-06-05,2:30 PM,North,The Good Guys,13,The Stars and Strikes,3,FINAL,
2026-06-05,2:30 PM,South,Youre Saying Theres A Chance,14,The Danites,7,FINAL,
2026-06-05,3:30 PM,North,The Good Guys,17,The Danites,4,FINAL,
2026-06-05,3:30 PM,South,Youre Saying Theres A Chance,6,The Stars and Strikes,7,FINAL,
2026-06-05,4:30 PM,North,The Lefty Looseys,8,The Pure Breads,18,FINAL,
2026-06-05,4:30 PM,South,The Ellites,14,The Slamma Jammas,19,FINAL,
2026-06-05,5:30 PM,North,The Lefty Looseys,17,The Slamma Jammas,7,FINAL,
2026-06-05,5:30 PM,South,The Ellites,4,The Pure Breads,20,FINAL,
2026-06-05,6:30 PM,North,The Pliggas,13,The Fellowship of the Swing,17,FINAL,
2026-06-05,6:30 PM,South,The Playas,4,The Diamonds and Dirtbags,10,FINAL,
2026-06-05,7:30 PM,North,The Pliggas,11,The Diamonds and Dirtbags,10,FINAL,
2026-06-05,7:30 PM,South,The Playas,11,The Fellowship of the Swing,16,FINAL,
2026-06-12,2:30 PM,North,The Good Guys,6,The Lefty Looseys,18,FINAL,
2026-06-12,2:30 PM,South,Youre Saying Theres A Chance,17,The Ellites,7,FINAL,
2026-06-12,3:30 PM,North,The Good Guys,13,The Ellites,9,FINAL,
2026-06-12,3:30 PM,South,Youre Saying Theres A Chance,8,The Lefty Looseys,18,FINAL,
2026-06-12,4:30 PM,North,The Pliggas,15,The Pure Breads,15,TIE,
2026-06-12,4:30 PM,South,The Playas,9,The Slamma Jammas,7,FINAL,
2026-06-12,5:30 PM,North,The Pliggas,9,The Slamma Jammas,4,FINAL,
2026-06-12,5:30 PM,South,The Playas,3,The Pure Breads,7,FINAL,
2026-06-12,6:30 PM,North,The Stars and Strikes,8,The Fellowship of the Swing,10,FINAL,
2026-06-12,6:30 PM,South,The Danites,10,The Diamonds and Dirtbags,11,FINAL,
2026-06-12,7:30 PM,North,The Stars and Strikes,16,The Diamonds and Dirtbags,17,FINAL,
2026-06-12,7:30 PM,South,The Danites,16,The Fellowship of the Swing,18,FINAL,
2026-06-19,2:30 PM,North,The Lefty Looseys,5,The Fellowship of the Swing,9,FINAL,
2026-06-19,2:30 PM,South,The Ellites,10,The Diamonds and Dirtbags,0,FINAL,Allowed a sub from outside the league
2026-06-19,3:30 PM,North,The Lefty Looseys,23,The Diamonds and Dirtbags,4,FINAL,
2026-06-19,3:30 PM,South,The Ellites,10,The Fellowship of the Swing,16,FINAL,
2026-06-19,4:30 PM,North,The Pliggas,10,The Stars and Strikes,11,FINAL,
2026-06-19,4:30 PM,South,The Playas,13,The Danites,10,FINAL,
2026-06-19,5:30 PM,North,The Pliggas,9,The Danites,8,FINAL,
2026-06-19,5:30 PM,South,The Playas,13,The Stars and Strikes,9,FINAL,
2026-06-19,6:30 PM,North,The Good Guys,5,The Pure Breads,20,FINAL,
2026-06-19,6:30 PM,South,Youre Saying Theres A Chance,10,The Slamma Jammas,0,FINAL,Sub Rule Infraction Forfeit
2026-06-19,7:30 PM,North,The Good Guys,15,The Slamma Jammas,12,FINAL,
2026-06-19,7:30 PM,South,Youre Saying Theres A Chance,19,The Pure Breads,9,FINAL,
2026-07-03,2:30 PM,North,The Pliggas,8,The Pure Breads,10,FINAL,
2026-07-03,2:30 PM,South,The Playas,6,The Slamma Jammas,14,FINAL,
2026-07-03,3:30 PM,North,The Pliggas,5,The Slamma Jammas,7,FINAL,
2026-07-03,3:30 PM,South,The Playas,6,The Pure Breads,15,FINAL,
2026-07-03,4:30 PM,North,The Stars and Strikes,16,The Fellowship of the Swing,10,FINAL,
2026-07-03,4:30 PM,South,The Danites,16,The Diamonds and Dirtbags,21,FINAL,
2026-07-03,5:30 PM,North,The Stars and Strikes,8,The Diamonds and Dirtbags,18,FINAL,
2026-07-03,5:30 PM,South,The Danites,7,The Fellowship of the Swing,10,FINAL,
2026-07-03,6:30 PM,North,The Good Guys,7,The Lefty Looseys,10,FINAL,
2026-07-03,6:30 PM,South,Youre Saying Theres A Chance,12,The Ellites,4,FINAL,
2026-07-03,7:30 PM,North,The Good Guys,15,The Ellites,16,FINAL,
2026-07-03,7:30 PM,South,Youre Saying Theres A Chance,28,The Lefty Looseys,4,FINAL,
2026-07-10,2:30 PM,North,The Stars and Strikes,6,The Pure Breads,15,FINAL,
2026-07-10,2:30 PM,South,The Danites,14,The Slamma Jammas,10,FINAL,
2026-07-10,3:30 PM,North,The Stars and Strikes,4,The Slamma Jammas,10,FINAL,
2026-07-10,3:30 PM,South,The Danites,10,The Pure Breads,16,FINAL,
2026-07-10,4:30 PM,North,The Fellowship of the Swing,12,The Good Guys,4,FINAL,
2026-07-10,4:30 PM,South,The Diamonds and Dirtbags,24,Youre Saying Theres A Chance,18,FINAL,
2026-07-10,5:30 PM,North,The Fellowship of the Swing,3,Youre Saying Theres A Chance,18,FINAL,
2026-07-10,5:30 PM,South,The Diamonds and Dirtbags,17,The Good Guys,9,FINAL,
2026-07-10,6:30 PM,North,The Lefty Looseys,14,The Pliggas,7,FINAL,
2026-07-10,6:30 PM,South,The Ellites,8,The Playas,9,FINAL,
2026-07-10,7:30 PM,North,The Lefty Looseys,13,The Playas,6,FINAL,
2026-07-10,7:30 PM,South,The Ellites,15,The Pliggas,17,FINAL,
2026-07-17,2:30 PM,North,The Slamma Jammas,8,The Ellites,7,FINAL,
2026-07-17,2:30 PM,South,The Pure Breads,18,The Lefty Looseys,12,FINAL,
2026-07-17,3:30 PM,North,The Slamma Jammas,9,The Lefty Looseys,17,FINAL,
